Factor,Joy,Anger,Fear,Disgust,Grief,Annoyance,Nervousness,Excitement,Jealousy,Anxiety,Guilt,Embarrassment,Frustration,Depression,Neutral
Facing Self-Opinioned People,1.0,3.3076923076923075,2.0,2.8461538461538463,3.0,1.4615384615384615,4.0,3.230769230769231,5.0,2.769230769230769,1.0,1.3076923076923077,2.3846153846153846,1.3846153846153846,1.0
Failure of Important Goals,1.0,2.0,2.0,4.6,3.0,1.0,4.0,4.8,5.0,1.6,3.0,3.2,2.0,1.0,1.0
Harmless Animals,1.0,2.1666666666666665,2.0,3.1666666666666665,3.0,1.8333333333333333,4.0,2.8333333333333335,5.0,1.8333333333333333,1.0,3.8333333333333335,1.0,1.5,1.0
Injury Fears,1.0,2.272727272727273,2.0,4.0,3.0,1.1818181818181819,4.0,4.0,5.0,2.0,1.5454545454545454,3.8181818181818183,1.0,1.1818181818181819,1.0
Intimate,1.0,2.6153846153846154,2.0,3.6153846153846154,3.0,2.076923076923077,4.0,3.6923076923076925,5.0,2.230769230769231,3.3846153846153846,2.6153846153846154,1.1538461538461537,2.076923076923077,1.0
Material Possession,1.0,4.0,2.0,2.0,3.0,4.0,4.0,2.0,5.0,3.0,2.0,1.0,1.0,4.0,1.0
Miscommunications and Misunderstanding,1.0,2.8,2.0,2.6,3.0,1.2,4.0,3.0,5.0,2.4,1.4,1.2,1.6,1.2,1.0
Personal Growth and Relationships,1.0,3.888888888888889,2.0,2.6666666666666665,3.0,2.7777777777777777,4.0,2.3333333333333335,5.0,2.888888888888889,1.6666666666666667,2.111111111111111,1.2222222222222223,2.7777777777777777,1.0
Personal and Moral,1.0333333333333334,2.5,1.9666666666666666,3.7666666666666666,2.966666666666667,1.9666666666666666,3.966666666666667,4.0,4.966666666666667,2.5,4.3,2.7333333333333334,1.4333333333333333,1.8666666666666667,1.0
Rejection and Interpersonal Issues,1.0,3.0,2.0,3.4,3.0,1.2,4.0,3.6,5.0,2.0,2.0,2.0,2.2,1.2,1.0
Relationship and Interpersonal,1.0,2.0869565217391304,2.0,4.130434782608695,3.0,1.1304347826086956,4.0,4.434782608695652,5.0,2.0869565217391304,4.3478260869565215,2.782608695652174,1.6521739130434783,1.1304347826086956,1.0
Romantic (Opposite Gender),1.0,3.4545454545454546,2.0,3.5454545454545454,3.0,1.0,4.0,3.5454545454545454,5.0,2.1818181818181817,1.0,2.3636363636363638,2.0,1.0,1.0
Romantic (Same Gender),1.0,2.090909090909091,2.0,4.2727272727272725,3.0,1.2727272727272727,4.0,4.363636363636363,5.0,2.090909090909091,2.8181818181818183,3.4545454545454546,2.4545454545454546,1.1818181818181819,1.0
Romantic Loss,1.0,2.0,2.0,4.6,3.0,1.0,4.0,4.8,5.0,1.6,2.0,2.2,1.2,1.0,1.0
Self-Imposed Pressure,1.0,3.75,2.0,3.1875,3.0,2.5625,4.0,2.4375,5.0,2.75,1.8125,2.6875,1.3125,2.5625,1.0
Silly and Thoughtless Behaviors,1.0,2.7142857142857144,1.9285714285714286,3.2857142857142856,2.9285714285714284,1.3571428571428572,3.9285714285714284,3.357142857142857,4.928571428571429,2.7142857142857144,1.8571428571428572,1.2857142857142858,2.357142857142857,1.1428571428571428,1.1428571428571428
Social Fears,1.0,1.9375,2.0,4.1875,3.0,1.6875,4.0,3.875,5.0,1.5,2.0625,3.75,1.375,1.4375,1.0
Social Isolation,1.0,2.0,2.0,4.0,3.0,1.0,4.0,4.0,5.0,1.6,2.2,2.2,1.0,1.0,1.0
Stranger,1.0,2.3333333333333335,2.0,3.888888888888889,3.0,1.3333333333333333,4.0,4.333333333333333,5.0,1.7777777777777777,3.0,2.4444444444444446,1.0,1.3333333333333333,1.0
Uncertainty and Unknowns,1.0,3.7777777777777777,2.0,2.5555555555555554,3.0,2.5555555555555554,4.0,2.111111111111111,5.0,2.6666666666666665,1.2222222222222223,2.0,1.1111111111111112,2.6666666666666665,1.0
Unforeseen Obstacles and Accidents,1.0,2.3333333333333335,2.0,3.6666666666666665,3.0,1.1111111111111112,4.0,3.6666666666666665,5.0,2.2222222222222223,2.111111111111111,2.3333333333333335,1.7777777777777777,1.1111111111111112,1.0
Winter,1.0,2.0,2.0,4.0,3.0,1.0,4.0,4.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0
