Emotion,Factor,Scenario,PANAS_Response
Anger,Driving Situations,Imagine you are in the following situation: You hit a deep pothole that was not marked.,"1. Interested: 1
2. Distressed: 3
3. Excited: 2
4. Upset: 4
5. Strong: 2
6. Guilty: 1
7. Scared: 3
8. Hostile: 1
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 3
12. Alert: 4
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 4
16. Determined: 3
17. Attentive: 4
18. Jittery: 3
19. Active: 2
20. Afraid: 3

Based on the PANAS questionnaire, I am currently experiencing moderate levels of distress, excitement, upset, and nervousness. I am also experiencing some levels of alertness, irritability, and fear. However, I am not experiencing high levels of interest, strong feelings, guilt, hostility, pride, ashamed, inspired, determined, attentive, jittery, active, or afraid."
Anger,Driving Situations,Imagine you are in the following situation: Driving behind a truck which has material flapping around in the back.,"1. Interested: 1
2. Distressed: 1
3. Excited: 2
4. Upset: 1
5. Strong: 1
6. Guilty: 1
7. Scared: 1
8. Hostile: 1
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 1
12. Alert: 3
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 1
16. Determined: 1
17. Attentive: 3
18. Jittery: 1
19. Active: 1
20. Afraid: 1

The situation of driving behind a truck with material flapping around in the back does not seem to elicit strong emotional responses in me. I am alert and attentive, and I feel a slight sense of excitement and enthusiasm. I am not distressed, upset, scared, hostile, guilty, ashamed, or afraid. I am not irritable, nervous, or jittery. I am not proud, determined, or inspired. I am not active."
Anger,Driving Situations,Imagine you are in the following situation: Driving behind a vehicle that is smoking badly or giving off diesel fumes.,"1. Interested: 1
2. Distressed: 4
3. Excited: 2
4. Upset: 4
5. Strong: 1
6. Guilty: 1
7. Scared: 3
8. Hostile: 1
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 3
12. Alert: 4
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 4
16. Determined: 2
17. Attentive: 4
18. Jittery: 3
19. Active: 2
20. Afraid: 3

In this situation, I would feel distressed and upset due to the unpleasant smell, and I would also feel alert and attentive to ensure my safety. I might also feel irritable due to the discomfort caused by the fumes. However, I would not feel any strong emotions like guilt, pride, or hostility. I would also feel a moderate level of fear and nervousness."
Anger,Driving Situations,Imagine you are in the following situation: A truck kicks up sand or gravel on the car you are driving.,"1. Interested: 1
2. Distressed: 1
3. Excited: 2
4. Upset: 1
5. Strong: 1
6. Guilty: 1
7. Scared: 1
8. Hostile: 1
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 1
12. Alert: 3
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 1
16. Determined: 1
17. Attentive: 3
18. Jittery: 1
19. Active: 1
20. Afraid: 1

The situation described does not elicit strong emotional responses in me. I am alert and attentive due to the potential distraction caused by the truck kicking up sand or gravel, but I do not feel distressed, upset, scared, guilty, ashamed, irritable, nervous, or afraid. I am slightly excited and enthusiastic about the opportunity to navigate the road safely. I am also determined to maintain control of the vehicle and complete the journey without incident."
Anger,Driving Situations,Imagine you are in the following situation: Driving behind a large truck and you cannot see around it.,"1. Interested: 1
2. Distressed: 2
3. Excited: 3
4. Upset: 2
5. Strong: 1
6. Guilty: 1
7. Scared: 4
8. Hostile: 1
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 2
12. Alert: 4
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 4
16. Determined: 3
17. Attentive: 4
18. Jittery: 3
19. Active: 2
20. Afraid: 4

In this situation, I would feel slightly interested, distressed, excited, upset, and alert. I would also feel somewhat nervous, determined, and attentive. I would feel quite scared and jittery, and to a lesser extent, irritable. I would not feel any significant levels of guilt, pride, hostility, inspired, ashamed, guilty, proud, enthusiastic, or active."
Anger,Driving Situations,Imagine you are in the following situation: You encounter road works and detours.,"1. 1
2. 2
3. 1
4. 2
5. 1
6. 1
7. 2
8. 1
9. 5
10. 1
11. 3
12. 5
13. 3
14. 5
15. 4
16. 5
17. 5
18. 4
19. 5
20. 5

I am not experiencing any strong emotions related to the road works and detours. I am slightly interested, distressed, and irritable due to the unexpected changes in my route. However, I am also excited, enthusiastic, determined, alert, attentive, active, and afraid due to the novelty and potential challenges of navigating the detours. I am not feeling guilty, ashamed, proud, or hostile in this situation."
Anger,Driving Situations,Imagine you are in the following situation: Someone makes an obscene gesture towards you about your driving.,"1. Interested: 1
2. Distressed: 4
3. Excited: 2
4. Upset: 4
5. Strong: 2
6. Guilty: 1
7. Scared: 3
8. Hostile: 4
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 4
12. Alert: 4
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 4
16. Determined: 3
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 3

This is a self-assessment of how I might feel in the given situation. The higher the number, the stronger the emotion."
Anger,Driving Situations,Imagine you are in the following situation: Someone beeps at you about your driving.,"1. Interested: 1
2. Distressed: 3
3. Excited: 2
4. Upset: 4
5. Strong: 2
6. Guilty: 3
7. Scared: 4
8. Hostile: 2
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 4
12. Alert: 4
13. Ashamed: 3
14. Inspired: 1
15. Nervous: 4
16. Determined: 3
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 4

This is a self-assessment of how I might feel in the given situation. The numbers represent the intensity of each emotion on a scale of 1 to 5, with 1 being very slightly or not at all, and 5 being extremely."
Anger,Driving Situations,Imagine you are in the following situation: Someone shouts at you about your driving.,"1. Interested: 1
2. Distressed: 4
3. Excited: 2
4. Upset: 4
5. Strong: 2
6. Guilty: 3
7. Scared: 3
8. Hostile: 4
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 4
12. Alert: 4
13. Ashamed: 3
14. Inspired: 1
15. Nervous: 4
16. Determined: 3
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 3

This is a self-assessment of how I might feel in the given situation. The numbers represent the intensity of each emotion on a scale of 1 to 5, with 1 being very slightly or not at all, and 5 being extremely."
Anger,Driving Situations,Imagine you are in the following situation: Someone does not move off straight away when the light turns green.,"1. Interested: 1
2. Distressed: 2
3. Excited: 3
4. Upset: 2
5. Strong: 1
6. Guilty: 1
7. Scared: 2
8. Hostile: 1
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 2
12. Alert: 4
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 3
16. Determined: 2
17. Attentive: 4
18. Jittery: 2
19. Active: 2
20. Afraid: 2

The situation of someone not moving off straight away when the light turns green may cause feelings of distress, excitement, and irritability in me. I may also feel alert, attentive, and nervous. However, I do not feel any strong emotions such as pride, guilt, shame, or fear to a significant degree. I am not hostile, ashamed, or afraid, and I do not feel inspired or determined to a great extent. I am not jittery, active, or proud, and I do not feel guilty or scared extremely."
Anger,Driving Situations,Imagine you are in the following situation: A pedestrian walks slowly across the middle of the street.,"1. Interested: 1
2. Distressed: 1
3. Excited: 1
4. Upset: 1
5. Strong: 1
6. Guilty: 1
7. Scared: 1
8. Hostile: 1
9. Enthusiastic: 1
10. Proud: 1
11. Irritable: 1
12. Alert: 2
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 1
16. Determined: 1
17. Attentive: 2
18. Jittery: 1
19. Active: 1
20. Afraid: 1

I am not experiencing any strong emotions in this situation. I am alert and attentive, as I am observing the pedestrian crossing the street. However, I am not afraid, distressed, excited, or any other emotion to a significant degree."
Anger,Driving Situations,"Imagine you are in the following situation: Someone is driving too slowly in the outside lane, and holding up traffic.","1. Interested: 1
2. Distressed: 2
3. Excited: 3
4. Upset: 4
5. Strong: 1
6. Guilty: 1
7. Scared: 2
8. Hostile: 1
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 4
12. Alert: 4
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 3
16. Determined: 2
17. Attentive: 4
18. Jittery: 2
19. Active: 3
20. Afraid: 2

The situation of someone driving too slowly in the outside lane, and holding up traffic, may cause feelings of distress, upset, irritability, nervousness, and fear. However, it can also lead to feelings of excitement, enthusiasm, and determination to find a solution or take action. The overall emotional state would be moderate distress, irritability, and nervousness, with a hint of excitement and determination."
Anger,Driving Situations,Imagine you are in the following situation: Someone is driving more slowly than is reasonable for the traffic flow.,"1. Interested: 1
2. Distressed: 2
3. Excited: 3
4. Upset: 2
5. Strong: 1
6. Guilty: 1
7. Scared: 2
8. Hostile: 1
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 3
12. Alert: 4
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 3
16. Determined: 2
17. Attentive: 4
18. Jittery: 2
19. Active: 2
20. Afraid: 2

The situation of someone driving more slowly than is reasonable for the traffic flow makes me feel slightly interested, distressed, excited, upset, strong, slightly guilty, scared, hostile, enthusiastic, proud, irritable, alert, ashamed, inspired, nervous, determined, attentive, jittery, active, and afraid."
Anger,Driving Situations,Imagine you are in the following situation: A slow vehicle on a winding road will not pull over and let people pass.,"1. Interested: 1
2. Distressed: 3
3. Excited: 2
4. Upset: 4
5. Strong: 2
6. Guilty: 1
7. Scared: 4
8. Hostile: 3
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 4
12. Alert: 5
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 4
16. Determined: 3
17. Attentive: 5
18. Jittery: 3
19. Active: 3
20. Afraid: 4

This is a reflection of the emotions that might be experienced in the given situation. The high scores indicate stronger feelings of distress, upset, scared, irritable, nervous, and afraid. The moderate scores indicate feelings of excited, hostile, alert, and active. The low scores indicate feelings of interested, guilty, proud, and determined."
Anger,Driving Situations,Imagine you are in the following situation: Someone is slow in parking and holds up traffic.,"1. Interested: 1
2. Distressed: 4
3. Excited: 2
4. Upset: 4
5. Strong: 2
6. Guilty: 1
7. Scared: 1
8. Hostile: 3
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 4
12. Alert: 3
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 3
16. Determined: 2
17. Attentive: 4
18. Jittery: 2
19. Active: 2
20. Afraid: 1

The situation of someone being slow in parking and holding up traffic makes me feel distressed (4), upset (4), irritable (4), and alert (3). I am also attentive (4) as I am observing the situation. I feel a slight sense of hostility (3) towards the driver causing the delay. I am not particularly excited, proud, guilty, scared, guilty, ashamed, inspired, nervous, determined, jittery, active, or afraid in this situation."
Anger,Driving Situations,Imagine you are in the following situation: You see a police car watching traffic from a hidden position.,"1. Interested: 1
2. Distressed: 1
3. Excited: 1
4. Upset: 1
5. Strong: 1
6. Guilty: 1
7. Scared: 2
8. Hostile: 1
9. Enthusiastic: 1
10. Proud: 1
11. Irritable: 1
12. Alert: 3
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 2
16. Determined: 1
17. Attentive: 3
18. Jittery: 1
19. Active: 1
20. Afraid: 2

I am alert, attentive, and a bit nervous and scared due to the presence of the police car. However, I do not feel any strong emotions such as guilt, hostility, or shame. I am not particularly interested, upset, excited, or proud. I am not irritable, ashamed, or jittery. I am not active or determined. I am not guilty, hostile, or afraid to the extreme level. I am not inspired or proud to the extreme level either."
Anger,Driving Situations,Imagine you are in the following situation: You pass a speed camera.,"1. Interested: 1
2. Distressed: 1
3. Excited: 1
4. Upset: 1
5. Strong: 1
6. Guilty: 2
7. Scared: 1
8. Hostile: 1
9. Enthusiastic: 1
10. Proud: 1
11. Irritable: 1
12. Alert: 2
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 1
16. Determined: 1
17. Attentive: 2
18. Jittery: 1
19. Active: 1
20. Afraid: 1

I am not a human, so I do not experience emotions in the same way humans do. However, I can simulate emotional responses based on the given situation. In this case, I would rate my feelings as follows:

1. Interested: 1 (I am not interested in the situation)
2. Distressed: 1 (I am not distressed)
3. Excited: 1 (I am not excited)
4. Upset: 1 (I am not upset)
5. Strong: 1 (I do not have physical strength"
Anger,Driving Situations,Imagine you are in the following situation: A police car is driving in traffic close to you.,"1. Interested: 1
2. Distressed: 1
3. Excited: 1
4. Upset: 1
5. Strong: 1
6. Guilty: 1
7. Scared: 2
8. Hostile: 1
9. Enthusiastic: 1
10. Proud: 1
11. Irritable: 1
12. Alert: 3
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 2
16. Determined: 1
17. Attentive: 3
18. Jittery: 1
19. Active: 1
20. Afraid: 2

I am slightly alert, attentive, nervous, and afraid due to the presence of the police car. However, I am not interested, distressed, excited, upset, strong, guilty, hostile, enthusiastic, proud, irritable, ashamed, inspired, determined, jittery, active, or scared to a significant degree."
Anger,Driving Situations,Imagine you are in the following situation: A police officer pulls you over.,"1. Interested: 1
2. Distressed: 4
3. Excited: 3
4. Upset: 4
5. Strong: 2
6. Guilty: 2
7. Scared: 5
8. Hostile: 2
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 3
12. Alert: 4
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 5
16. Determined: 3
17. Attentive: 4
18. Jittery: 4
19. Active: 3
20. Afraid: 5

This is a hypothetical situation, and I don't have personal feelings. However, based on the context, I would expect to feel distressed, excited, upset, scared, nervous, and alert in this situation. The other emotions are less relevant to this specific scenario."
Anger,Driving Situations,Imagine you are in the following situation: Someone is driving too fast for the road conditions.,"1. Interested: 1
2. Distressed: 3
3. Excited: 4
4. Upset: 3
5. Strong: 2
6. Guilty: 1
7. Scared: 4
8. Hostile: 1
9. Enthusiastic: 4
10. Proud: 1
11. Irritable: 3
12. Alert: 5
13. Ashamed: 1
14. Inspired: 2
15. Nervous: 4
16. Determined: 3
17. Attentive: 5
18. Jittery: 3
19. Active: 3
20. Afraid: 4

Explanation:
- I am slightly interested in the situation as it involves a potential safety concern.
- I am distressed because I am programmed to prioritize safety and well-being.
- I am excited because the situation is dynamic and requires a response.
- I am slightly upset because I am programmed to prioritize safety and well-being.
- I am not feeling particularly strong or guilty in this situation.
- I am scared because the situation involves a potential safety risk.
- I am not feeling hostile in this situation.
- I am enthusiastic"
Anger,Driving Situations,Imagine you are in the following situation: Someone is weaving in and out of traffic.,"1. Interested: 1
2. Distressed: 4
3. Excited: 3
4. Upset: 4
5. Strong: 1
6. Guilty: 1
7. Scared: 4
8. Hostile: 1
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 3
12. Alert: 5
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 4
16. Determined: 2
17. Attentive: 5
18. Jittery: 3
19. Active: 3
20. Afraid: 4

This is a reflection of the potential emotional response to the given situation. The numbers represent the intensity of each emotion on a scale of 1 to 5, with 1 being very slightly or not at all, and 5 being extremely."
Anger,Driving Situations,Imagine you are in the following situation: Someone runs a red light or stop sign.,"1. Interested: 1
2. Distressed: 2
3. Excited: 3
4. Upset: 4
5. Strong: 1
6. Guilty: 2
7. Scared: 4
8. Hostile: 1
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 3
12. Alert: 5
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 4
16. Determined: 4
17. Attentive: 5
18. Jittery: 3
19. Active: 3
20. Afraid: 4

This is a hypothetical situation, and my emotional response may vary depending on the specific circumstances. However, based on the given scenario, I would feel distressed, upset, scared, and nervous due to the potential danger caused by the person running the red light or stop sign. I would also feel alert, attentive, and determined to ensure safety. Additionally, I might feel irritable due to the reckless behavior of the other driver."
Anger,Driving Situations,Imagine you are in the following situation: Someone is driving well above the speed limit.,"1. Interested: 1
2. Distressed: 3
3. Excited: 4
4. Upset: 3
5. Strong: 2
6. Guilty: 2
7. Scared: 4
8. Hostile: 2
9. Enthusiastic: 4
10. Proud: 1
11. Irritable: 3
12. Alert: 5
13. Ashamed: 1
14. Inspired: 2
15. Nervous: 4
16. Determined: 3
17. Attentive: 5
18. Jittery: 3
19. Active: 3
20. Afraid: 4

The situation of someone driving well above the speed limit makes me feel distressed, excited, upset, scared, nervous, and alert. I am also attentive and jittery. I do not feel interested, proud, guilty, hostile, enthusiastic, irritable, ashamed, inspired, determined, or afraid to a significant degree."
Anger,Driving Situations,Imagine you are in the following situation: You are driving through a residential area when someone backs their car out of the driveway and nearly hits you.,"1. Interested: 1
2. Distressed: 4
3. Excited: 3
4. Upset: 4
5. Strong: 2
6. Guilty: 2
7. Scared: 4
8. Hostile: 2
9. Enthusiastic: 3
10. Proud: 2
11. Irritable: 3
12. Alert: 5
13. Ashamed: 2
14. Inspired: 2
15. Nervous: 4
16. Determined: 3
17. Attentive: 5
18. Jittery: 3
19. Active: 3
20. Afraid: 4

This is a self-assessment of how I might feel in the described situation. The numbers represent the intensity of each emotion on a scale of 1 to 5, with 1 being very slightly or not at all, and 5 being extremely."
Anger,Driving Situations,Imagine you are in the following situation: You are stuck behind a slow driver on an otherwise open road.,"1. Interested: 1
2. Distressed: 2
3. Excited: 3
4. Upset: 2
5. Strong: 1
6. Guilty: 1
7. Scared: 1
8. Hostile: 1
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 3
12. Alert: 4
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 2
16. Determined: 2
17. Attentive: 4
18. Jittery: 1
19. Active: 2
20. Afraid: 1

In this situation, I would feel slightly irritated (3) due to being stuck behind a slow driver, but overall, I would feel excited (3) about the open road ahead and attentive (4) to the driving conditions. I would also feel alert (4) and determined (2) to reach my destination. However, I would not feel any significant levels of distress (2), upset (2), scared (1), hostile (1), ashamed (1), guilty (1), proud (1), inspired (1), nervous (2), jittery (1), active"
Anxiety,External Factors,Imagine you are in the following situation: You do not have control over your exam score.,"1. 1
2. 2
3. 1
4. 2
5. 1
6. 1
7. 2
8. 1
9. 5
10. 1
11. 3
12. 4
13. 3
14. 4
15. 3
16. 4
17. 4
18. 3
19. 4
20. 2

In this situation, I feel slightly interested, distressed, excited, upset, strong, guilty, scared, hostile, enthusiastic, proud, irritable, alert, ashamed, inspired, nervous, determined, attentive, jittery, active, and afraid. However, it's important to note that I don't have personal feelings or emotions, so these ratings are based on a hypothetical response to the given situation."
Anxiety,External Factors,Imagine you are in the following situation: You cannot change the outcome of your job interview.,"1. Interested: 1
2. Distressed: 4
3. Excited: 3
4. Upset: 4
5. Strong: 1
6. Guilty: 1
7. Scared: 4
8. Hostile: 1
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 2
12. Alert: 3
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 5
16. Determined: 4
17. Attentive: 3
18. Jittery: 4
19. Active: 2
20. Afraid: 4

I am feeling distressed, upset, scared, and nervous about the job interview, but I am also excited and determined to perform my best. I am not feeling guilty, ashamed, or hostile, but I am feeling a bit irritable and jittery. I am alert and attentive, and I am trying to stay active and enthusiastic."
Anxiety,External Factors,Imagine you are in the following situation: You cannot cope with the loss of a loved one.,"1. Interested: 1
2. Distressed: 5
3. Excited: 1
4. Upset: 5
5. Strong: 1
6. Guilty: 1
7. Scared: 5
8. Hostile: 1
9. Enthusiastic: 1
10. Proud: 1
11. Irritable: 3
12. Alert: 2
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 5
16. Determined: 4
17. Attentive: 2
18. Jittery: 4
19. Active: 2
20. Afraid: 5

Based on the PANAS questionnaire, it appears that you are experiencing high levels of distress, upset, and fear, as well as moderate levels of irritability, nervousness, and jitteriness. You are not feeling particularly interested, excited, enthusiastic, proud, guilty, hostile, or ashamed. You are also feeling determined and attentive to some extent. These feelings are consistent with grief and the struggle to cope with the loss of a loved one. It may be helpful to seek support from a mental health professional during this difficult time."
Anxiety,External Factors,Imagine you are in the following situation: You do not know what to do when facing a difficult financial situation.,"1. Interested: 2
2. Distressed: 5
3. Excited: 3
4. Upset: 5
5. Strong: 2
6. Guilty: 1
7. Scared: 5
8. Hostile: 1
9. Enthusiastic: 3
10. Proud: 1
11. Irritable: 4
12. Alert: 4
13. Ashamed: 1
14. Inspired: 2
15. Nervous: 5
16. Determined: 4
17. Attentive: 4
18. Jittery: 3
19. Active: 3
20. Afraid: 5

In this situation, I feel distressed, upset, scared, and nervous due to the financial difficulty. However, I am also determined and alert to find a solution. I am not feeling guilty, hostile, ashamed, proud, or irritable in this situation. I am slightly interested, excited, and enthusiastic about finding a solution, but these feelings are overshadowed by the negative emotions. I am also active and attentive, ready to take action and find a resolution."
Anxiety,External Factors,Imagine you are in the following situation: You are unprepared for the unexpected changes in your travel plans.,"1. Interested: 1
2. Distressed: 3
3. Excited: 4
4. Upset: 4
5. Strong: 1
6. Guilty: 1
7. Scared: 3
8. Hostile: 1
9. Enthusiastic: 4
10. Proud: 1
11. Irritable: 2
12. Alert: 3
13. Ashamed: 1
14. Inspired: 2
15. Nervous: 4
16. Determined: 3
17. Attentive: 3
18. Jittery: 3
19. Active: 2
20. Afraid: 3

Based on the PANAS questionnaire, I am currently experiencing moderate levels of distress, excitement, upset, nervousness, and fear. I am also experiencing some levels of irritability, alertness, and jitteriness. However, I am not experiencing significant levels of interest, strong feelings, guilt, hostility, pride, guilt, shame, inspiration, determined, attentiveness, or activity."
Anxiety,External Factors,Imagine you are in the following situation: You hope the heavy traffic goes away soon.,"1. Interested: 1
2. Distressed: 2
3. Excited: 2
4. Upset: 2
5. Strong: 1
6. Guilty: 1
7. Scared: 1
8. Hostile: 1
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 2
12. Alert: 3
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 2
16. Determined: 2
17. Attentive: 3
18. Jittery: 1
19. Active: 2
20. Afraid: 1

Based on the PANAS questionnaire, I am currently experiencing moderate levels of distress, irritability, nervousness, and alertness. I am also experiencing low levels of interest, excitement, upset, strong feelings, guilt, scared, hostile, proud, ashamed, inspired, determined, attentive, jittery, active, and afraid."
Anxiety,External Factors,Imagine you are in the following situation: You hope the repair work in your home will be over soon.,"1. Interested: 1
2. Distressed: 3
3. Excited: 2
4. Upset: 3
5. Strong: 1
6. Guilty: 1
7. Scared: 2
8. Hostile: 1
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 2
12. Alert: 3
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 3
16. Determined: 4
17. Attentive: 3
18. Jittery: 2
19. Active: 2
20. Afraid: 2

Based on the PANAS questionnaire, I am currently experiencing moderate levels of distress, excitement, and nervousness. I am also alert, attentive, and determined. I am not experiencing strong levels of other emotions such as interest, upset, strong, guilty, scared, hostile, enthusiastic, proud, irritable, ashamed, inspired, and active. I am experiencing some levels of guilt, fear, and irritability."
Anxiety,External Factors,Imagine you are in the following situation: Realizing that your home has been given a low appraisal value by the appraiser is not good.,"1. 1
2. 4
3. 2
4. 4
5. 1
6. 1
7. 3
8. 1
9. 3
10. 1
11. 3
12. 4
13. 3
14. 2
15. 3
16. 4
17. 4
18. 3
19. 3
20. 4

I am feeling slightly interested, distressed, excited, and upset. I am not feeling guilty, scared, hostile, proud, irritable, alert, ashamed, inspired, nervous, determined, attentive, jittery, active, or afraid at this moment."
Anxiety,External Factors,Imagine you are in the following situation: You have no hope for a resolution to the ongoing dispute.,"1. Interested: 1
2. Distressed: 5
3. Excited: 2
4. Upset: 5
5. Strong: 1
6. Guilty: 1
7. Scared: 5
8. Hostile: 4
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 4
12. Alert: 4
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 5
16. Determined: 3
17. Attentive: 4
18. Jittery: 4
19. Active: 3
20. Afraid: 5

Based on the PANAS questionnaire, I am currently experiencing high levels of distress, upset, scared, hostile, nervous, and afraid. I am also experiencing moderate levels of irritable, alert, and active. I am experiencing low levels of interested, excited, strong, guilty, proud, and determined. I am not experiencing any levels of inspired, ashamed, or attentive."
Anxiety,External Factors,Imagine you are in the following situation: You are having an important job interview,"1. Interested: 4
2. Distressed: 3
3. Excited: 5
4. Upset: 2
5. Strong: 3
6. Guilty: 1
7. Scared: 4
8. Hostile: 1
9. Enthusiastic: 5
10. Proud: 2
11. Irritable: 2
12. Alert: 5
13. Ashamed: 1
14. Inspired: 3
15. Nervous: 5
16. Determined: 5
17. Attentive: 5
18. Jittery: 4
19. Active: 4
20. Afraid: 4

This is a self-assessment of how I might feel during an important job interview. The numbers represent the intensity of each emotion on a scale of 1 to 5, with 1 being very slightly or not at all, and 5 being extremely."
Anxiety,External Factors,"Imagine you are in the following situation: Emergency Room: This environment was created with the intention of eliciting worry in participants suffering mostly from worries related to health. You find yourself immersed in a hospital emergency waiting room. Other patients are nearby and display symptoms of sickness (coughing) or fatigue. One of them is wearing a disposable face mask. You hear sounds such as a mother crying after receiving bad news concerning her child, and a wife being told that nothing can be done to save her husband, etc. Other patients are called to see the doctor, but you are not called. At some point, doctors come into the waiting room and discuss a case while looking at you, but you cannot understand what they are saying.","1. Interested: 1
2. Distressed: 5
3. Excited: 2
4. Upset: 5
5. Strong: 3
6. Guilty: 1
7. Scared: 5
8. Hostile: 2
9. Enthusiastic: 2
10. Proud: 1
11. Irritable: 4
12. Alert: 4
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 5
16. Determined: 3
17. Attentive: 4
18. Jittery: 4
19. Active: 3
20. Afraid: 5

This situation would likely elicit feelings of distress, upset, scared, nervous, and afraid due to the hospital environment and the potential health concerns. However, it may also cause feelings of alert, attentive, and active as the individual may be on high alert for any information or assistance. Additionally, feelings of irritable and jittery could arise from the stress and uncertainty of the situation."
Anxiety,Self-Imposed Pressure,Imagine you are in the following situation: You are fearful of the upcoming presentation you have to deliver.,"1. Interested: 1
2. Distressed: 5
3. Excited: 4
4. Upset: 5
5. Strong: 1
6. Guilty: 1
7. Scared: 5
8. Hostile: 1
9. Enthusiastic: 4
10. Proud: 1
11. Irritable: 3
12. Alert: 4
13. Ashamed: 1
14. Inspired: 1
15. Nervous: 5
16. Determined: 4
17. Attentive: 4
18. Jittery: 5
19. Active: 3
20. Afraid: 5

Based on the PANAS questionnaire, it appears that you are currently experiencing high levels of distress, fear, and nervousness, with moderate levels of excitement and irritability. Your levels of interest, guilt, pride, hostility, and shame are relatively low. Your levels of alertness, determination, and attentiveness are moderate. Your level of jitteriness is also high."
Anxiety,Self-Imposed Pressure,Imagine you are in the following situation: You are overwhelmed by the workload and deadlines at your job.,"1. Interested: 1
2. Distressed: 5
3. Excited: 3
4. Upset: 5
5. Strong: 3
6. Guilty: 2
7. Scared: 4
8. Hostile: 2
9. Enthusiastic: 3
10. Proud: 2
11. Irritable: 4
12. Alert: 4
13. Ashamed: 2
14. Inspired: 2
15. Nervous: 5
16. Determined: 4
17. Attentive: 4
18. Jittery: 4
19. Active: 4
20. Afraid: 4

Based on the PANAS questionnaire, it appears that you are currently experiencing high levels of distress, upset, nervousness, and fear due to your overwhelming workload and deadlines. However, you are also feeling some excitement and enthusiasm about your work. It might be helpful to take a break, prioritize your tasks, and seek support if needed to manage these feelings."
Anxiety,Self-Imposed Pressure,Imagine you are in the following situation: You must succeed in completing your project on time.,"1. Interested: 5
2. Distressed: 3
3. Excited: 4
4. Upset: 2
5. Strong: 4
6. Guilty: 1
7. Scared: 2
8. Hostile: 1
9. Enthusiastic: 4
10. Proud: 3
11. Irritable: 2
12. Alert: 4
13. Ashamed: 1
14. Inspired: 3
15. Nervous: 3
16. Determined: 5
17. Attentive: 4
18. Jittery: 2
19. Active: 4
20. Afraid: 2

Based on the PANAS questionnaire, I am currently experiencing high levels of interest, excitement, enthusiasm, determination, and alertness. I am also experiencing some levels of distress, nervousness, and fear. However, I am not experiencing significant levels of upset, guilt, shame, irritability, hostility, or pride. I am also not feeling particularly ashamed, inspired, proud, active, or afraid."
