Scenario,Emotion,Factor,PANAS_Response
"When your classmate denies the existence of a famous landmarkyou know you're right about (often things you've heard on TV). People don't believe in you but persist in saying you're wrong, though you can almost prove it. (But you are as obstinate as a mule yourself).",Anger,Facing Self-Opinioned People,"[INST] Imagine you are in the following situation:

When your classmate denies the existence of a famous landmarkyou know you're right about (often things you've heard on TV). People don't believe in you but persist in saying you're wrong, though you can almost prove it. (But you are as obstinate as a mule yourself).

Now, please respond to the PANAS questionnaire. Rate how you feel right now, using a number from 1 to 5:
1 = Very slightly or not at all
5 = Extremely

1. Interested
2. Distressed
3. Excited
4. Upset
5. Strong
6. Guilty
7. Scared
8. Hostile
9. Enthusiastic
10. Proud
11. Irritable
12. Alert
13. Ashamed
14. Inspired
15. Nervous
16. Determined
17. Attentive
18. Jittery
19. Active
20. Afraid [/INST]  Based on the situation you've described, I would rate my feelings as follows:

1. Interested: 5 - I am very interested in proving my classmate wrong and showing them the evidence I have.
2. Distressed: 4 - I am a bit frustrated that my classmate is not believing me, but I am not feeling overwhelmed or upset.
3. Excited: 3 - I am excited to have the opportunity to prove my point and show my classmate the truth.
4. Upset: 2 - I am not feeling upset or angry, but I am a bit annoyed that my classmate is not taking me seriously.
5. Strong: 4 - I am feeling determined to prove my point and show my classmate the evidence, but I am not feeling overly strong or aggressive.
6. Guilty: 1 - I"
"If you mention an important historical event that you know is true, but still nobody believes you. Then you get mad. It is the people who don't believe you that make you angry.",Anger,Facing Self-Opinioned People,"[INST] Imagine you are in the following situation:

If you mention an important historical event that you know is true, but still nobody believes you. Then you get mad. It is the people who don't believe you that make you angry.

Now, please respond to the PANAS questionnaire. Rate how you feel right now, using a number from 1 to 5:
1 = Very slightly or not at all
5 = Extremely

1. Interested
2. Distressed
3. Excited
4. Upset
5. Strong
6. Guilty
7. Scared
8. Hostile
9. Enthusiastic
10. Proud
11. Irritable
12. Alert
13. Ashamed
14. Inspired
15. Nervous
16. Determined
17. Attentive
18. Jittery
19. Active
20. Afraid [/INST]  Based on the situation you've described, I would rate my feelings as follows:

1. Interested: 3 (I am interested in the fact that nobody believes me, but I am not particularly invested in the topic)
2. Distressed: 4 (I am mildly distressed by the fact that people don't believe me, but it's not overwhelmingly upsetting)
3. Excited: 1 (I am not excited about the situation at all)
4. Upset: 3 (I am mildly upset by the fact that people don't believe me, but I'm not extremely upset)
5. Strong: 2 (I am not feeling particularly strong emotions about the situation)
6. Guilty: 1 (I don't feel guilty about the situation)
7. Scared: 1 ("
When your older brother has taken money from Mom's purse and you are blamed because you're the youngest one. They accuse you though you didn't take it.,Anger,"Blaming, Slandering, and Tattling","[INST] Imagine you are in the following situation:

When your older brother has taken money from Mom's purse and you are blamed because you're the youngest one. They accuse you though you didn't take it.

Now, please respond to the PANAS questionnaire. Rate how you feel right now, using a number from 1 to 5:
1 = Very slightly or not at all
5 = Extremely

1. Interested
2. Distressed
3. Excited
4. Upset
5. Strong
6. Guilty
7. Scared
8. Hostile
9. Enthusiastic
10. Proud
11. Irritable
12. Alert
13. Ashamed
14. Inspired
15. Nervous
16. Determined
17. Attentive
18. Jittery
19. Active
20. Afraid [/INST]  Sure, here are my responses to the PANAS questionnaire in this situation:

1. Interested: 1 (Not at all)
2. Distressed: 5 (Extremely) - I feel extremely upset and stressed about being blamed for something I didn't do.
3. Excited: 1 (Not at all) - I'm not excited about being in this situation.
4. Upset: 5 (Extremely) - I'm extremely upset about being accused of something I didn't do.
5. Strong: 4 (Moderately) - I feel a strong sense of frustration and anger about being blamed for something I didn't do.
6. Guilty: 1 (Not at all) - I don't feel guilty about something I didn't do.
7. Scared: 1 (Not at"
If your mother blames you for breaking a vase that you have not done.,Anger,"Blaming, Slandering, and Tattling","[INST] Imagine you are in the following situation:

If your mother blames you for breaking a vase that you have not done.

Now, please respond to the PANAS questionnaire. Rate how you feel right now, using a number from 1 to 5:
1 = Very slightly or not at all
5 = Extremely

1. Interested
2. Distressed
3. Excited
4. Upset
5. Strong
6. Guilty
7. Scared
8. Hostile
9. Enthusiastic
10. Proud
11. Irritable
12. Alert
13. Ashamed
14. Inspired
15. Nervous
16. Determined
17. Attentive
18. Jittery
19. Active
20. Afraid [/INST]  Sure, here's how I would rate my feelings in the situation you described using the PANAS questionnaire:

1. Interested: 1 (Not at all)
2. Distressed: 5 (Extremely) - I feel very upset and stressed about being blamed for something I didn't do.
3. Excited: 1 (Not at all)
4. Upset: 5 (Extremely) - I'm feeling very upset and hurt by my mother's accusations.
5. Strong: 4 (Moderately) - I'm feeling a strong emotion, but not to the point of being overwhelmed.
6. Guilty: 4 (Moderately) - I feel guilty because I didn't break the vase, but I'm being blamed for it anyway.
7. Scared:"
"When your mom has lost some money, she always puts the blame on you and thinks you took it. She always thinks you are the one to blame.",Anger,"Blaming, Slandering, and Tattling","[INST] Imagine you are in the following situation:

When your mom has lost some money, she always puts the blame on you and thinks you took it. She always thinks you are the one to blame.

Now, please respond to the PANAS questionnaire. Rate how you feel right now, using a number from 1 to 5:
1 = Very slightly or not at all
5 = Extremely

1. Interested
2. Distressed
3. Excited
4. Upset
5. Strong
6. Guilty
7. Scared
8. Hostile
9. Enthusiastic
10. Proud
11. Irritable
12. Alert
13. Ashamed
14. Inspired
15. Nervous
16. Determined
17. Attentive
18. Jittery
19. Active
20. Afraid [/INST]  Sure, here's how I would rate my feelings in the situation you described using the PANAS questionnaire:

1. Interested: 1 (Not at all)
2. Distressed: 5 (Extremely) - I can understand why my mom might be upset if she lost money, and I feel guilty for not being able to help her find it.
3. Excited: 1 (Not at all) - I'm not feeling excited about the situation at all.
4. Upset: 5 (Extremely) - I'm feeling very upset that my mom is blaming me for something I didn't do.
5. Strong: 5 (Extremely) - I'm feeling very strong emotions of frustration and guilt.
6. Guilty: 5 (Extremely) - I feel guilty for not being able to help my"
"When you're tired and have slept too little, and everybody just keeps nagging at you at home, you get put out and would rather have peace and quiet.",Anger,"Blaming, Slandering, and Tattling","[INST] Imagine you are in the following situation:

When you're tired and have slept too little, and everybody just keeps nagging at you at home, you get put out and would rather have peace and quiet.

Now, please respond to the PANAS questionnaire. Rate how you feel right now, using a number from 1 to 5:
1 = Very slightly or not at all
5 = Extremely

1. Interested
2. Distressed
3. Excited
4. Upset
5. Strong
6. Guilty
7. Scared
8. Hostile
9. Enthusiastic
10. Proud
11. Irritable
12. Alert
13. Ashamed
14. Inspired
15. Nervous
16. Determined
17. Attentive
18. Jittery
19. Active
20. Afraid [/INST]  Sure, here's how I would rate my feelings in the situation you described using the PANAS questionnaire:

1. Interested: 1 (Not at all)
2. Distressed: 5 (Extremely)
3. Excited: 1 (Not at all)
4. Upset: 5 (Extremely)
5. Strong: 5 (Extremely)
6. Guilty: 1 (Not at all)
7. Scared: 5 (Extremely)
8. Hostile: 1 (Not at all)
9. Enthusiastic: 1 (Not at all)
10. Proud: 1 (Not at all)
11. Irritable: 5 (Extremely)
12. Alert: 1 (Not at all)
13. Ashamed: 1"
"When your parents take their bad morning mood out on you, even though it's none of your business, you think that people who are in a bad temper don't necessarily have to let it come out on other people if it isn't necessary.",Anger,"Blaming, Slandering, and Tattling","[INST] Imagine you are in the following situation:

When your parents take their bad morning mood out on you, even though it's none of your business, you think that people who are in a bad temper don't necessarily have to let it come out on other people if it isn't necessary.

Now, please respond to the PANAS questionnaire. Rate how you feel right now, using a number from 1 to 5:
1 = Very slightly or not at all
5 = Extremely

1. Interested
2. Distressed
3. Excited
4. Upset
5. Strong
6. Guilty
7. Scared
8. Hostile
9. Enthusiastic
10. Proud
11. Irritable
12. Alert
13. Ashamed
14. Inspired
15. Nervous
16. Determined
17. Attentive
18. Jittery
19. Active
20. Afraid [/INST]  Based on the situation you've described, I would rate my current emotional state as follows:

1. Interested: 1 (Not at all)
2. Distressed: 2 (Slightly)
3. Excited: 3 (Somewhat)
4. Upset: 4 (Moderately)
5. Strong: 5 (Extremely)

I'm feeling a bit upset and distressed because my parents are taking their bad mood out on me, but I also feel somewhat excited because I'm trying to stay positive and not let their negativity affect me. However, I'm feeling extremely strong and determined to not let their mood rub off on me and to stay in control of my own emotions."
"When you and your mom are quarreling about the dirty dishes in the sink, and she becomes overly fixated on the smallest details, like a misplaced spoon or a slightly greasy plate, you quickly lose your patience.",Anger,"Blaming, Slandering, and Tattling","[INST] Imagine you are in the following situation:

When you and your mom are quarreling about the dirty dishes in the sink, and she becomes overly fixated on the smallest details, like a misplaced spoon or a slightly greasy plate, you quickly lose your patience.

Now, please respond to the PANAS questionnaire. Rate how you feel right now, using a number from 1 to 5:
1 = Very slightly or not at all
5 = Extremely

1. Interested
2. Distressed
3. Excited
4. Upset
5. Strong
6. Guilty
7. Scared
8. Hostile
9. Enthusiastic
10. Proud
11. Irritable
12. Alert
13. Ashamed
14. Inspired
15. Nervous
16. Determined
17. Attentive
18. Jittery
19. Active
20. Afraid [/INST]  Sure, here's how I would rate my feelings in the situation you described using the PANAS questionnaire:

1. Interested: 1 (Not at all)
2. Distressed: 5 (Extremely)
3. Excited: 1 (Not at all)
4. Upset: 5 (Extremely)
5. Strong: 5 (Extremely)
6. Guilty: 1 (Not at all)
7. Scared: 1 (Not at all)
8. Hostile: 1 (Not at all)
9. Enthusiastic: 1 (Not at all)
10. Proud: 1 (Not at all)
11. Irritable: 5 (Extremely)
12. Alert: 1 (Not at all)
13. Ashamed: 1"
"When your sibling yells and shouts at you for a small spill, insisting on repeatedly nagging about it, you believe that it's enough to say something once, and then you grasp it.",Anger,"Blaming, Slandering, and Tattling","[INST] Imagine you are in the following situation:

When your sibling yells and shouts at you for a small spill, insisting on repeatedly nagging about it, you believe that it's enough to say something once, and then you grasp it.

Now, please respond to the PANAS questionnaire. Rate how you feel right now, using a number from 1 to 5:
1 = Very slightly or not at all
5 = Extremely

1. Interested
2. Distressed
3. Excited
4. Upset
5. Strong
6. Guilty
7. Scared
8. Hostile
9. Enthusiastic
10. Proud
11. Irritable
12. Alert
13. Ashamed
14. Inspired
15. Nervous
16. Determined
17. Attentive
18. Jittery
19. Active
20. Afraid [/INST]  Based on the situation you provided, I would rate my feelings as follows:

1. Interested: 1 (Not at all)
2. Distressed: 5 (Extremely)
3. Excited: 1 (Not at all)
4. Upset: 5 (Extremely)
5. Strong: 5 (Extremely)
6. Guilty: 1 (Not at all)
7. Scared: 5 (Extremely)
8. Hostile: 1 (Not at all)
9. Enthusiastic: 1 (Not at all)
10. Proud: 1 (Not at all)
11. Irritable: 5 (Extremely)
12. Alert: 1 (Not at all)
13. Ashamed: 1 (Not at all)
14."
"You get angry when people talk behind your back, or your friend's back. Because those who do so are so mean and such cowards that they don't dare to tell you or your friend directly.",Anger,"Blaming, Slandering, and Tattling","[INST] Imagine you are in the following situation:

You get angry when people talk behind your back, or your friend's back. Because those who do so are so mean and such cowards that they don't dare to tell you or your friend directly.

Now, please respond to the PANAS questionnaire. Rate how you feel right now, using a number from 1 to 5:
1 = Very slightly or not at all
5 = Extremely

1. Interested
2. Distressed
3. Excited
4. Upset
5. Strong
6. Guilty
7. Scared
8. Hostile
9. Enthusiastic
10. Proud
11. Irritable
12. Alert
13. Ashamed
14. Inspired
15. Nervous
16. Determined
17. Attentive
18. Jittery
19. Active
20. Afraid [/INST]  Based on the situation you've described, I would rate my feelings as follows:

1. Interested: 3 - I am mildly interested in the situation and the emotions that it elicits, but I am not overly invested or enthusiastic about it.
2. Distressed: 5 - I feel quite distressed about the fact that people are talking behind my back or my friend's back. I find it hurtful and cowardly, and it makes me feel upset and angry.
3. Excited: 1 - I am not excited about the situation at all. In fact, I find it quite unpleasant and would rather not be in this situation.
4. Upset: 5 - I am very upset about the situation, as I feel that it is unfair and disrespectful towards me and my friend. I am also angry about it."
"You get mad when your friends talk rubbish about you and you find out about it. You get terribly mad because when your friends say nasty things, you feel out of it.",Anger,"Blaming, Slandering, and Tattling","[INST] Imagine you are in the following situation:

You get mad when your friends talk rubbish about you and you find out about it. You get terribly mad because when your friends say nasty things, you feel out of it.

Now, please respond to the PANAS questionnaire. Rate how you feel right now, using a number from 1 to 5:
1 = Very slightly or not at all
5 = Extremely

1. Interested
2. Distressed
3. Excited
4. Upset
5. Strong
6. Guilty
7. Scared
8. Hostile
9. Enthusiastic
10. Proud
11. Irritable
12. Alert
13. Ashamed
14. Inspired
15. Nervous
16. Determined
17. Attentive
18. Jittery
19. Active
20. Afraid [/INST]  Based on the situation you provided, I would rate my feelings as follows:

1. Interested: 1 (Not at all)
2. Distressed: 5 (Extremely)
3. Excited: 1 (Not at all)
4. Upset: 5 (Extremely)
5. Strong: 5 (Extremely)
6. Guilty: 1 (Not at all)
7. Scared: 5 (Extremely)
8. Hostile: 1 (Not at all)
9. Enthusiastic: 1 (Not at all)
10. Proud: 1 (Not at all)
11. Irritable: 5 (Extremely)
12. Alert: 1 (Not at all)
13. Ashamed: 1 (Not at all)
14."
When you're kind to a friend and he is not. You want to be treated yourself the way you treat your friends.,Anger,"Blaming, Slandering, and Tattling","[INST] Imagine you are in the following situation:

When you're kind to a friend and he is not. You want to be treated yourself the way you treat your friends.

Now, please respond to the PANAS questionnaire. Rate how you feel right now, using a number from 1 to 5:
1 = Very slightly or not at all
5 = Extremely

1. Interested
2. Distressed
3. Excited
4. Upset
5. Strong
6. Guilty
7. Scared
8. Hostile
9. Enthusiastic
10. Proud
11. Irritable
12. Alert
13. Ashamed
14. Inspired
15. Nervous
16. Determined
17. Attentive
18. Jittery
19. Active
20. Afraid [/INST]  Sure, here are my responses to the PANAS questionnaire in the situation you described:

1. Interested: 3 (I'm mildly interested in the situation, but not overly so)
2. Distressed: 4 (I'm feeling a bit distressed or uncomfortable about the fact that my friend is not treating me the way I treat them)
3. Excited: 2 (I'm not particularly excited about the situation, but I'm not feeling any strong negative emotions either)
4. Upset: 4 (I'm feeling a bit upset or annoyed that my friend is not treating me with the same kindness and respect that I show them)
5. Strong: 4 (I'm feeling a bit strong or determined in my desire to be treated with kindness and respect by my friend)
6. Guilty"
"When friends fall out and one of them, out of revenge, is spreading false rumors. They cannot have it out with each other instead. It is not nice to have to deal with rumors.",Anger,"Blaming, Slandering, and Tattling","[INST] Imagine you are in the following situation:

When friends fall out and one of them, out of revenge, is spreading false rumors. They cannot have it out with each other instead. It is not nice to have to deal with rumors.

Now, please respond to the PANAS questionnaire. Rate how you feel right now, using a number from 1 to 5:
1 = Very slightly or not at all
5 = Extremely

1. Interested
2. Distressed
3. Excited
4. Upset
5. Strong
6. Guilty
7. Scared
8. Hostile
9. Enthusiastic
10. Proud
11. Irritable
12. Alert
13. Ashamed
14. Inspired
15. Nervous
16. Determined
17. Attentive
18. Jittery
19. Active
20. Afraid [/INST]  Sure, here's how I would rate my feelings in the situation you described using the PANAS questionnaire:

1. Interested: 1 (Not at all)
2. Distressed: 5 (Extremely) - Dealing with false rumors can be very upsetting and stressful.
3. Excited: 1 (Not at all)
4. Upset: 5 (Extremely) - The thought of having to deal with false rumors and not being able to have it out with the friend who is spreading them is very upsetting.
5. Strong: 4 (Moderately) - I feel a strong sense of frustration and upset about the situation.
6. Guilty: 1 (Not at all)
7. Scared: 1 (Not at all)
8. Hostile: 1 (Not at all)"
