Step,Scenario,Scores,Target Emotion,Reward
11,"If you mention an important historical event that you know is true, but still nobody believes you. Then you get mad. It is the people who don't believe you that make you angry.","[3, 3, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.457495710997814
12,When your older brother has taken money from Mom's purse and you are blamed because you're the youngest one. They accuse you though you didn't take it.,"[1, 2, 1, 1, 3, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.3481553119113957
13,If your mother blames you for breaking a vase that you have not done.,"[3, 2, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.3086066999241839
14,"When your mom has lost some money, she always puts the blame on you and thinks you took it. She always thinks you are the one to blame.","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.8944271909999159
15,"When you're tired and have slept too little, and everybody just keeps nagging at you at home, you get put out and would rather have peace and quiet.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.0
16,"When your parents take their bad morning mood out on you, even though it's none of your business, you think that people who are in a bad temper don't necessarily have to let it come out on other people if it isn't necessary.","[2, 4, 3, 4, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.4500351603704096
17,"When you and your mom are quarreling about the dirty dishes in the sink, and she becomes overly fixated on the smallest details, like a misplaced spoon or a slightly greasy plate, you quickly lose your patience.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.0
18,"When your sibling yells and shouts at you for a small spill, insisting on repeatedly nagging about it, you believe that it's enough to say something once, and then you grasp it.","[1, 1, 1, 3, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.16439898730535732
19,"You get angry when people talk behind your back, or your friend's back. Because those who do so are so mean and such cowards that they don't dare to tell you or your friend directly.","[2, 1, 3, 2, 2, 5, 4, 2, 3, 0, 0, 0, 0, 0, 0]",Anger,0.1147078669352809
20,"You get mad when your friends talk rubbish about you and you find out about it. You get terribly mad because when your friends say nasty things, you feel out of it.","[2, 5, 1, 5, 1, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.5423261445466404
21,When you're kind to a friend and he is not. You want to be treated yourself the way you treat your friends.,"[5, 3, 1, 2, 2, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.40089186286863654
22,"When friends fall out and one of them, out of revenge, is spreading false rumors. They cannot have it out with each other instead. It is not nice to have to deal with rumors.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.0
23,"When your classmates are bullied. You have been bullied yourself and know how it feels. You get angry because you cannot help being different, having glasses, or being oddly dressed.","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.0
24,"When older students physically bully a smaller classmate who is defenseless, it angers you.","[4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.7808688094430303
25,"You get angry when your two brothers start a fight with you, particularly when your parents are not around. When they hit you in the belly, causing pain that makes you mad and retaliate, they respond by hitting you even harder.","[3, 2, 5, 2, 3, 4, 2, 4, 0, 0, 0, 0, 0, 0, 0]",Anger,0.214422506967559
26,When your pal has a book she won't show you. Because you think she has written something about you.,"[5, 2, 3, 1, 3, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.2324952774876386
27,"You get angry when one of the girls in your class is teasing you. It's not fun to get mad, you think.","[1, 1, 3, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.24253562503633302
28,"If a boy kicks a ball at you on purpose and everybody laughs, you get mad. He makes everyone laugh and then it hurts for a while.","[1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.9805806756909201
29,"When your classmate points to your friend's outfit and laughs at it, making your friend feel feared and hurt.","[3, 5, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.8006407690254357
30,When your classmate insults you and says something unjustified. You feel Guilty and work yourself up about the one who said it and want to really give it back to them.,"[1, 3, 2, 2, 5, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.34188172937891387
31,"When your close friend tells you that they love your new haircut, but you later discover they were just trying to be polite and didn't actually like it. You feel foolish and frustrated, realizing that their compliment wasn't genuine, and it angers you when you think about it.","[5, 2, 2, 2, 2, 4, 2, 2, 3, 1, 2, 0, 0, 0, 0]",Anger,0.2250175801852048
32,"You get very mad when your close friend teases you about a mistake you made in class,and your other classmates join in, even though it's none of their business.","[2, 3, 1, 1, 3, 2, 4, 1, 3, 1, 0, 0, 0, 0, 0]",Anger,0.4045199174779453
33,"When you are teased by a group of classmates, and you see their laughing faces as they enjoy making fun of another person, you think that teasing is incredibly foolish and completely unnecessary.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.0
34,You get mad when they tease you and call you fatty.,"[1, 4, 5, 4, 4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.40201512610368484
35,"You get mad when your older brother teases you about your choice of music, making fun of your favorite songs and artists, even though his reasons are very foolish and ridiculous.","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.0
36,"When your little brother runs in and out of your room while you have friends at home, intentionally trying to make you mad and tease you.","[2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.8320502943378436
37,"When your brother hits you without reason and you ask him why, but he only laughs at you while you're seeking an explanation.","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.8944271909999159
38,"When you're tired and busy with your homework and things go wrong, you get mad. Because you're tired and you think everything goes wrong.","[1, 2, 4, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.34299717028501764
39,"When everything goes wrong. You're alone, there is no one else to blame. Something breaks down, and you don't have a clean blouse to put on. You get mad at yourself for not having washed that blouse, etc. It's your laziness and dullness you get mad at. If someone is there with you, for example, your mom, you will blame your laziness on her.","[1, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.8728715609439694
40,When local tycoons or people in high positions abuse power. It is not the money that makes you mad but the fact that such idiots can have such a high position.,"[3, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.23570226039551584
41,"When you wake up and put on your sweater, but you get it wrong. That you get your sweater all wrong.","[3, 2, 2, 5, 1, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.25197631533948484
42,"When the alarm has rung in the morning, but you stay in bed and fall asleep again. That you don't have time to get ready in peace and quiet but have to fling your clothes on before leaving.","[3, 1, 5, 1, 3, 1, 1, 2, 5, 3, 5, 0, 0, 0, 0]",Anger,0.09534625892455925
43,When you have made a mistake in a test and don't get time to correct it. When you know you made an error and cannot correct it in time.,"[5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.7071067811865475
44,"When the government allows the destruction of a beautiful place where there are farms, and they suddenly appear with Caterpillars and announce their plans to build houses there. Because you believe the government should prioritize the preservation of existing green areas instead of constructing skyscrapers.","[5, 1, 1, 2, 5, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0]",Anger,0.0873704056661038
45,"You are at a store waiting to be helped, but the clerks are talking to each other and ignoring you.","[5, 1, 4, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.13483997249264842
46,You get home from the drive-thru and realize that you were given the wrong food.,"[1, 2, 1, 4, 3, 4, 3, 2, 0, 0, 0, 0, 0, 0, 0]",Anger,0.25819888974716115
47,A stranger bumps into you at the mall and doesn't apologize.,"[1, 3, 4, 3, 3, 1, 4, 2, 2, 1, 0, 0, 0, 0, 0]",Anger,0.35856858280031806
48,"When your younger sibling deliberately ""pinches"" your toys, especially if it's something expensive that you just bought, and they don't even acknowledge the damage, it angers you.","[2, 5, 3, 3, 4, 5, 5, 3, 0, 0, 0, 0, 0, 0, 0]",Anger,0.45267873021259264
49,"When your roommate intentionally destroys your laptop, especially if it's a new one that you recently purchased, and they don't even acknowledge the damage, it angers you. ","[1, 3, 2, 2, 2, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.4375949744936836
50,"You get angry when you're at home because your parents constantly move your things from where you originally placed them, leaving you feeling frustrated and unable to find your belongings.","[1, 3, 5, 5, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.35856858280031806
51,Your new roommate doesn't clean up the kitchen after having some friends over.,"[2, 1, 2, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.16903085094570333
52,Someone is driving very close to your rear bumper.,"[2, 3, 4, 2, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.4423258684646913
53,Someone cuts in right in front of you on the motorway.,"[2, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.21821789023599236
54,Someone cuts in and takes the parking spot you have been waiting for.,"[2, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.5570860145311555
55,Someone backs out right in front of you without looking.,"[2, 4, 2, 2, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.6575959492214292
56,Someone coming towards you does not dim their headlights at night.,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.5773502691896257
57,At night someone is driving right behind you with bright lights on.,"[3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.2886751345948129
58,Someone speeds up when you try to pass them.,"[1, 2, 3, 4, 5, 4, 3, 1, 4, 1, 2, 1, 0, 0, 0]",Anger,0.19706585563285864
59,Someone pulls our right in front of you when there is no one behind you.,"[1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.816496580927726
60,A cyclist is riding in the middle of the lane and slowing traffic.,"[4, 1, 3, 4, 2, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0]",Anger,0.13245323570650439
61,You are stuck in a traffic jam.,"[2, 1, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.2
62,You hit a deep pothole that was not marked.,"[1, 1, 1, 4, 5, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.13245323570650439
63,Driving behind a truck which has material flapping around in the back.,"[2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.4472135954999579
64,Driving behind a vehicle that is smoking badly or giving off diesel fumes.,"[4, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.5477225575051661
65,A truck kicks up sand or gravel on the car you are driving.,"[3, 2, 1, 4, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.3333333333333333
66,Driving behind a large truck and you cannot see around it.,"[5, 1, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.1386750490563073
67,You encounter road works and detours.,"[1, 2, 5, 5, 1, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.24077170617153842
68,Someone makes an obscene gesture towards you about your driving.,"[1, 3, 4, 4, 3, 1, 4, 1, 4, 1, 0, 0, 0, 0, 0]",Anger,0.3234983196103152
69,Someone beeps at you about your driving.,"[2, 3, 3, 2, 4, 5, 2, 5, 0, 0, 0, 0, 0, 0, 0]",Anger,0.3061862178478973
70,Someone shouts at you about your driving.,"[3, 5, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.8111071056538127
71,Someone does not move off straight away when the light turns green.,"[1, 1, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.25819888974716115
72,A pedestrian walks slowly across the middle of the street.,"[3, 5, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.6933752452815364
73,"Someone is driving too slowly in the outside lane, and holding up traffic.","[1, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.6963106238227913
74,Someone is driving more slowly than is reasonable for the traffic flow.,"[2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.8320502943378436
75,A slow vehicle on a winding road will not pull over and let people pass.,"[1, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.3651483716701107
76,Someone is slow in parking and holds up traffic.,"[2, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.18257418583505539
77,You see a police car watching traffic from a hidden position.,"[2, 3, 5, 3, 1, 2, 4, 5, 2, 0, 0, 0, 0, 0, 0]",Anger,0.3046038495400857
78,You pass a speed camera.,"[3, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.8111071056538127
79,A police car is driving in traffic close to you.,"[2, 4, 5, 4, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.4886777774252209
80,A police officer pulls you over.,"[1, 4, 3, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.6405126152203485
81,Someone is driving too fast for the road conditions.,"[3, 2, 5, 5, 4, 4, 3, 5, 2, 0, 0, 0, 0, 0, 0]",Anger,0.173421993904824
82,Someone is weaving in and out of traffic.,"[2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.7071067811865475
83,Someone runs a red light or stop sign.,"[3, 5, 2, 3, 3, 5, 5, 5, 1, 3, 0, 0, 0, 0, 0]",Anger,0.42107596053325946
84,Someone is driving well above the speed limit.,"[1, 5, 4, 2, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.5455447255899809
85,You are driving through a residential area when someone backs their car out of the driveway and nearly hits you.,"[3, 2, 2, 4, 4, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.254000254000381
86,You are stuck behind a slow driver on an otherwise open road.,"[1, 2, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anger,0.3592106040535498
87,You do not have control over your exam score.,"[3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
88,You cannot change the outcome of your job interview.,"[2, 3, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
89,You cannot cope with the loss of a loved one.,"[5, 2, 4, 2, 2, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
90,You do not know what to do when facing a difficult financial situation.,"[4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
91,You are unprepared for the unexpected changes in your travel plans.,"[5, 1, 3, 5, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
92,You hope the heavy traffic goes away soon.,"[2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
93,You hope the repair work in your home will be over soon.,"[3, 3, 5, 5, 2, 3, 1, 4, 2, 3, 2, 2, 0, 0, 0]",Anxiety,0.27500954910846337
94,Realizing that your home has been given a low appraisal value by the appraiser is not good.,"[1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
95,You have no hope for a resolution to the ongoing dispute.,"[4, 1, 5, 2, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
96,You are having an important job interview,"[2, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
97,"Emergency Room: This environment was created with the intention of eliciting worry in participants suffering mostly from worries related to health. You find yourself immersed in a hospital emergency waiting room. Other patients are nearby and display symptoms of sickness (coughing) or fatigue. One of them is wearing a disposable face mask. You hear sounds such as a mother crying after receiving bad news concerning her child, and a wife being told that nothing can be done to save her husband, etc. Other patients are called to see the doctor, but you are not called. At some point, doctors come into the waiting room and discuss a case while looking at you, but you cannot understand what they are saying.","[5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
98,You are fearful of the upcoming presentation you have to deliver.,"[1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
99,You are overwhelmed by the workload and deadlines at your job.,"[4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
100,You must succeed in completing your project on time.,"[4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
101,You must perform well during the sports competition.,"[4, 5, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
102,You knew that you would have to make a difficult decision at some point.,"[3, 4, 1, 1, 2, 4, 3, 5, 4, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
103,"If you are not completely successful in negotiating, the deal may fall through.","[3, 4, 2, 1, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
104,You are anxious about giving a public speech.,"[2, 3, 4, 5, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
105,You want to run away from the conflict in your family.,"[1, 5, 1, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
106,You regret not double-checking the address before leaving for an important job interview.,"[2, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
107,You are afraid of others thinking poorly of your fashion choices.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
108,You are having an argument with a friend,"[4, 4, 3, 3, 3, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
109,"Student Room: The third environment, created for students, alludes to both academic difficulties and social isolation. You find yourself in your room, having to study for upcoming exams. Scattered unpaid bills are visible, suggesting financial difficulties. You hear voices coming from the hall, talking about a student who is failing out of the program. From another room, you hear your roommates planning a party to which you are not invited, and it might further disrupt your study time.","[3, 1, 3, 3, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
110,"When you have a test: Picture yourself sitting in a classroom, facing a challenging test that covers a significant portion of the course material. The pressure to perform well, the anticipation of the questions, and the need to recall and apply knowledge within a limited time frame can create anxiety and nervousness.","[3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
111,"When you think you might make a mistake: Imagine being in a situation where there is a possibility of making a mistake with potentially significant consequences. It could be performing a delicate surgical procedure, handling a fragile object, or making a critical decision that affects others. The fear of failure and the weight of responsibility can lead to heightened stress and caution.","[1, 4, 3, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
112,"When you have to start a new activity: Visualize joining a new club, starting a new job, or participating in a new sport or hobby for the first time. You are stepping into unfamiliar territory, meeting new people, and learning new skills. The combination of excitement, nervousness, and the need to adapt quickly to the new environment creates a mix of emotions.","[2, 3, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
113,"When you volunteer to answer questions in class: Picture yourself in a classroom setting, where the teacher poses a question to the entire class, and you choose to raise your hand and volunteer to answer. The spotlight turns to you, and all eyes shift in your direction, waiting for your response. The mixture of anticipation, potential scrutiny, and the opportunity to contribute to the discussion can create a mix of excitement and nervousness.","[1, 3, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
114,You have control over how you react to criticism from others.,"[1, 5, 5, 4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
115,You believe you can change the dynamics of a strained relationship.,"[3, 5, 5, 2, 2, 5, 1, 1, 3, 4, 2, 0, 0, 0, 0]",Anxiety,0.360667853866973
116,You can make something productive out of your free time.,"[2, 1, 3, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
117,You are not sure if you will get a promotion at work.,"[2, 5, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
118,You do not want to face the confrontation with your neighbor.,"[4, 3, 5, 5, 5, 3, 1, 1, 5, 1, 1, 1, 2, 5, 0]",Anxiety,0.07715167498104596
119,You want to give up on learning a new skill because it feels challenging.,"[5, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
120,You are having an argument with a friend having an emergency surgery,"[3, 1, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
121,"When you don't know what people think of you: Picture yourself in a social gathering or party, surrounded by people whose opinions and thoughts about you are unknown. You may feel uncertain about how you are perceived by others and what they truly think of you, creating a sense of self-consciousness and curiosity.","[1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
122,"When you are away from your parents: Envision yourself in a new environment, far away from the comforting presence of your parents or guardians. It could be your first day at college, moving to a new city for work, or embarking on a solo travel adventure. The absence of familiar support and guidance may evoke feelings of independence, excitement, and at the same time, a sense of vulnerability and adjustment.","[1, 3, 2, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
123,You are not being rational when jumping to conclusions.,"[3, 3, 2, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
124,You hope time passes by faster during a tedious task.,"[1, 5, 1, 5, 1, 3, 5, 3, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
125,You are not sure if you will get a promotion at work.,"[4, 3, 5, 1, 5, 1, 3, 2, 1, 3, 3, 5, 0, 0, 0]",Anxiety,0.25916052767440806
126,You can have a favorable outcome in your job application.,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
127,"When there is a change in routine: Visualize waking up to find out that your usual daily routine has been completely disrupted. Perhaps your usual mode of transportation is unavailable, or there is a sudden change in your work schedule or school timetable. The unexpected alteration forces you to adapt and make adjustments on the spot, leading to a sense of disorientation and the need to quickly readjust your plans.","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
128,"When you are not prepared: Imagine being given a task or responsibility without prior knowledge or preparation. It could be an impromptu presentation at work, an unplanned assignment in school, or a sudden request to lead a group discussion. The lack of preparation leaves you feeling unready and apprehensive about how well you will be able to perform in the given situation.","[1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
129,"When you go into a room full of people: Picture yourself entering a room filled with a large crowd of individuals, where everyone seems to know each other, but you are the outsider. The feeling of being surrounded by strangers, the potential for social interaction, and the need to navigate and establish connections in a new social setting can be both intimidating and exciting.","[2, 2, 1, 4, 4, 5, 1, 5, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
130,"When you go into a busy place: Imagine stepping into a bustling city street, a crowded shopping mall, or a busy train station during rush hour. The noise, the constant movement, and the sheer number of people around can be overwhelming, creating a sense of sensory overload and the need to navigate through the chaos.","[1, 4, 1, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
131,"When you are approached by others: Visualize someone approaching you, either a stranger or someone you know, initiating a conversation or interaction. It could be a networking event, a colleague seeking your opinion, or a friend expressing their concerns. The sudden interaction prompts you to respond, engage, and potentially adjust your behavior or thoughts in the moment.","[2, 5, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Anxiety,0.0
132,"You put in countless hours of preparation, pouring your heart and soul into pursuing your dream. The moment of truth arrives, and as you anxiously wait for the outcome, the news hits you like a tidal wave your expectations shattered, your vision crumbling. ","[2, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Depression,0.0
133,"As you watch the confident smiles of your peers, you slowly realize that your name is not among the list of successful candidates for the dream job you've been striving for. Your heart sinks with each congratulatory message they receive, as you're left alone to face the overwhelming weight of unfulfilled expectations, your aspirations slipping further from your grasp.","[1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Depression,0.0
134,"As you pour countless hours of effort into achieving your long-awaited dream, the moment of truth arrives. With trembling anticipation, you eagerly await the results, hoping for success. However, as the news reaches your ears, a profound silence engulfs your heart, and the weight of disappointment crushes your spirit, leaving you questioning your worth and capabilities.","[1, 2, 1, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Depression,0.0
