Scenario,True_Emotion,Mapped_Emotion,Factor,Predicted_Emotion,Match,Top_Emotion_1,Score_1,Top_Emotion_2,Score_2,Top_Emotion_3,Score_3
"When your sibling yells and shouts at you for a small spill, insisting on repeatedly nagging about it, you believe that it's enough to say something once, and then you grasp it.",Anger,anger,"Blaming, Slandering, and Tattling",anger,True,anger,0.3439596593379974,neutral,0.3267927765846252,disgust,0.1767608225345611
"You get angry when people talk behind your back, or your friend's back. Because those who do so are so mean and such cowards that they don't dare to tell you or your friend directly.",Anger,anger,"Blaming, Slandering, and Tattling",anger,True,anger,0.5926445722579956,disgust,0.1825657784938812,sadness,0.1703577041625976
"You get mad when your friends talk rubbish about you and you find out about it. You get terribly mad because when your friends say nasty things, you feel out of it.",Anger,anger,"Blaming, Slandering, and Tattling",disgust,False,disgust,0.4473166465759277,sadness,0.2650356590747833,anger,0.2016009837388992
When you're kind to a friend and he is not. You want to be treated yourself the way you treat your friends.,Anger,anger,"Blaming, Slandering, and Tattling",disgust,False,disgust,0.3353603184223175,sadness,0.2816564738750458,surprise,0.1742683053016662
"When friends fall out and one of them, out of revenge, is spreading false rumors. They cannot have it out with each other instead. It is not nice to have to deal with rumors.",Anger,anger,"Blaming, Slandering, and Tattling",fear,False,fear,0.4005229473114013,disgust,0.25886932015419,neutral,0.2105596512556076
"When your classmates are bullied. You have been bullied yourself and know how it feels. You get angry because you cannot help being different, having glasses, or being oddly dressed.",Anger,anger,"Bullying, Teasing, Insulting, and Disparaging",fear,False,fear,0.3141040503978729,disgust,0.3117797672748565,anger,0.184215635061264
"When older students physically bully a smaller classmate who is defenseless, it angers you.",Anger,anger,"Bullying, Teasing, Insulting, and Disparaging",anger,True,anger,0.6123397946357727,surprise,0.1940466612577438,disgust,0.1090787202119827
"You get angry when your two brothers start a fight with you, particularly when your parents are not around. When they hit you in the belly, causing pain that makes you mad and retaliate, they respond by hitting you even harder.",Anger,anger,"Bullying, Teasing, Insulting, and Disparaging",anger,True,anger,0.5706027150154114,neutral,0.2223687469959259,disgust,0.0943400710821151
When your pal has a book she won't show you. Because you think she has written something about you.,Anger,anger,"Bullying, Teasing, Insulting, and Disparaging",disgust,False,disgust,0.3211252093315124,anger,0.296838104724884,fear,0.2071847468614578
"You get angry when one of the girls in your class is teasing you. It's not fun to get mad, you think.",Anger,anger,"Bullying, Teasing, Insulting, and Disparaging",disgust,False,disgust,0.2802745103836059,anger,0.2244417667388916,fear,0.2116772383451461
"If a boy kicks a ball at you on purpose and everybody laughs, you get mad. He makes everyone laugh and then it hurts for a while.",Anger,anger,"Bullying, Teasing, Insulting, and Disparaging",anger,True,anger,0.2905859053134918,sadness,0.2431418895721435,disgust,0.2343282699584961
"When your classmate points to your friend's outfit and laughs at it, making your friend feel feared and hurt.",Anger,anger,"Bullying, Teasing, Insulting, and Disparaging",disgust,False,disgust,0.3413504362106323,anger,0.2876342535018921,fear,0.192814752459526
When your classmate insults you and says something unjustified. You feel Guilty and work yourself up about the one who said it and want to really give it back to them.,Anger,anger,"Bullying, Teasing, Insulting, and Disparaging",anger,True,anger,0.3533699214458465,sadness,0.2655771672725677,fear,0.2460048645734787
"When your close friend tells you that they love your new haircut, but you later discover they were just trying to be polite and didn't actually like it. You feel foolish and frustrated, realizing that their compliment wasn't genuine, and it angers you when you think about it.",Anger,anger,"Bullying, Teasing, Insulting, and Disparaging",anger,True,anger,0.349832534790039,neutral,0.2419520169496536,sadness,0.2286383360624313
"You get very mad when your close friend teases you about a mistake you made in class,and your other classmates join in, even though it's none of their business.",Anger,anger,"Bullying, Teasing, Insulting, and Disparaging",anger,True,anger,0.3568742871284485,disgust,0.2649174332618713,sadness,0.141773521900177
"When you are teased by a group of classmates, and you see their laughing faces as they enjoy making fun of another person, you think that teasing is incredibly foolish and completely unnecessary.",Anger,anger,"Bullying, Teasing, Insulting, and Disparaging",disgust,False,disgust,0.2877911329269409,neutral,0.2415675222873687,fear,0.2137423753738403
You get mad when they tease you and call you fatty.,Anger,anger,"Bullying, Teasing, Insulting, and Disparaging",anger,True,anger,0.4027429223060608,sadness,0.2589412033557892,neutral,0.1676741987466812
"You get mad when your older brother teases you about your choice of music, making fun of your favorite songs and artists, even though his reasons are very foolish and ridiculous.",Anger,anger,"Bullying, Teasing, Insulting, and Disparaging",anger,True,anger,0.8109126091003418,sadness,0.078850582242012,disgust,0.0536012277007103
"When your little brother runs in and out of your room while you have friends at home, intentionally trying to make you mad and tease you.",Anger,anger,"Bullying, Teasing, Insulting, and Disparaging",anger,True,anger,0.5808714628219604,disgust,0.3259781301021576,neutral,0.0697923377156257
"When your brother hits you without reason and you ask him why, but he only laughs at you while you're seeking an explanation.",Anger,anger,"Bullying, Teasing, Insulting, and Disparaging",anger,True,anger,0.4931874275207519,disgust,0.2295398712158203,sadness,0.2096292078495025
"When you're tired and busy with your homework and things go wrong, you get mad. Because you're tired and you think everything goes wrong.",Anger,anger,Silly and Thoughtless Behaviors,anger,True,anger,0.604671061038971,neutral,0.219230368733406,sadness,0.1085158810019493
"When everything goes wrong. You're alone, there is no one else to blame. Something breaks down, and you don't have a clean blouse to put on. You get mad at yourself for not having washed that blouse, etc. It's your laziness and dullness you get mad at. If someone is there with you, for example, your mom, you will blame your laziness on her.",Anger,anger,Silly and Thoughtless Behaviors,anger,True,anger,0.5272988080978394,disgust,0.1855525970458984,sadness,0.1355479955673217
When local tycoons or people in high positions abuse power. It is not the money that makes you mad but the fact that such idiots can have such a high position.,Anger,anger,Silly and Thoughtless Behaviors,anger,True,anger,0.5065394639968872,disgust,0.3736708462238312,neutral,0.0678077563643455
"When you wake up and put on your sweater, but you get it wrong. That you get your sweater all wrong.",Anger,anger,Silly and Thoughtless Behaviors,disgust,False,disgust,0.4521349966526031,anger,0.2933261394500732,neutral,0.1723907440900802
"When the alarm has rung in the morning, but you stay in bed and fall asleep again. That you don't have time to get ready in peace and quiet but have to fling your clothes on before leaving.",Anger,anger,Silly and Thoughtless Behaviors,sadness,False,sadness,0.2373878955841064,fear,0.2173980176448822,neutral,0.1806327253580093
When you have made a mistake in a test and don't get time to correct it. When you know you made an error and cannot correct it in time.,Anger,anger,Silly and Thoughtless Behaviors,neutral,False,neutral,0.2925421893596649,anger,0.2361772358417511,disgust,0.1833842098712921
"When the government allows the destruction of a beautiful place where there are farms, and they suddenly appear with Caterpillars and announce their plans to build houses there. Because you believe the government should prioritize the preservation of existing green areas instead of constructing skyscrapers.",Anger,anger,Silly and Thoughtless Behaviors,neutral,False,neutral,0.4598990380764007,sadness,0.2002435475587844,fear,0.1967620104551315
"You are at a store waiting to be helped, but the clerks are talking to each other and ignoring you.",Anger,anger,Silly and Thoughtless Behaviors,disgust,False,disgust,0.3540067076683044,anger,0.3408676385879516,neutral,0.1777136325836181
You get home from the drive-thru and realize that you were given the wrong food.,Anger,anger,Silly and Thoughtless Behaviors,anger,True,anger,0.7455232739448547,neutral,0.1485032886266708,disgust,0.0674285814166069
A stranger bumps into you at the mall and doesn't apologize.,Anger,anger,Silly and Thoughtless Behaviors,anger,True,anger,0.7766216993331909,disgust,0.1489095538854599,neutral,0.0415522903203964
"When your younger sibling deliberately ""pinches"" your toys, especially if it's something expensive that you just bought, and they don't even acknowledge the damage, it angers you.",Anger,anger,Silly and Thoughtless Behaviors,anger,True,anger,0.6238623857498169,joy,0.1940392553806305,disgust,0.1033983379602432
"When your roommate intentionally destroys your laptop, especially if it's a new one that you recently purchased, and they don't even acknowledge the damage, it angers you. ",Anger,anger,Silly and Thoughtless Behaviors,anger,True,anger,0.8214535713195801,disgust,0.0964424461126327,sadness,0.0555901415646076
"You get angry when you're at home because your parents constantly move your things from where you originally placed them, leaving you feeling frustrated and unable to find your belongings.",Anger,anger,Silly and Thoughtless Behaviors,fear,False,fear,0.4419485032558441,anger,0.2222803086042404,sadness,0.1598289608955383
Your new roommate doesn't clean up the kitchen after having some friends over.,Anger,anger,Silly and Thoughtless Behaviors,disgust,False,disgust,0.3190967142581939,sadness,0.2288242131471634,anger,0.2228987216949463
Someone is driving very close to your rear bumper.,Anger,anger,Driving Situations,fear,False,fear,0.3657934963703155,anger,0.2118568867444992,neutral,0.2048535346984863
Someone cuts in right in front of you on the motorway.,Anger,anger,Driving Situations,fear,False,fear,0.3754605650901794,neutral,0.3645147383213043,disgust,0.1526724994182586
Someone cuts in and takes the parking spot you have been waiting for.,Anger,anger,Driving Situations,anger,True,anger,0.5771391987800598,disgust,0.24922676384449,neutral,0.0615254342555999
Someone backs out right in front of you without looking.,Anger,anger,Driving Situations,anger,True,anger,0.4285214841365814,disgust,0.160495638847351,surprise,0.1223448663949966
Someone coming towards you does not dim their headlights at night.,Anger,anger,Driving Situations,fear,False,fear,0.5100632905960083,neutral,0.1533661782741546,surprise,0.1336999088525772
At night someone is driving right behind you with bright lights on.,Anger,anger,Driving Situations,fear,False,fear,0.7703837156295776,neutral,0.1226766705513,surprise,0.0384968891739845
Someone speeds up when you try to pass them.,Anger,anger,Driving Situations,anger,True,anger,0.6483059525489807,fear,0.2393058836460113,disgust,0.0504159927368164
Someone pulls our right in front of you when there is no one behind you.,Anger,anger,Driving Situations,anger,True,anger,0.8364933729171753,disgust,0.1257544457912445,fear,0.0201400853693485
A cyclist is riding in the middle of the lane and slowing traffic.,Anger,anger,Driving Situations,anger,True,anger,0.382694661617279,neutral,0.2955047190189361,fear,0.2681804299354553
You are stuck in a traffic jam.,Anger,anger,Driving Situations,anger,True,anger,0.5058968663215637,disgust,0.205285906791687,neutral,0.128066673874855
You hit a deep pothole that was not marked.,Anger,anger,Driving Situations,anger,True,anger,0.2491538971662521,neutral,0.2384500205516815,sadness,0.2347120493650436
Driving behind a truck which has material flapping around in the back.,Anger,anger,Driving Situations,surprise,False,surprise,0.2729037404060364,anger,0.2314883768558502,fear,0.2295401096343994
Driving behind a vehicle that is smoking badly or giving off diesel fumes.,Anger,anger,Driving Situations,anger,True,anger,0.387298434972763,disgust,0.2663514018058777,neutral,0.2461535483598709
A truck kicks up sand or gravel on the car you are driving.,Anger,anger,Driving Situations,fear,False,fear,0.4691745340824127,surprise,0.2153133898973465,anger,0.1128446087241172
Driving behind a large truck and you cannot see around it.,Anger,anger,Driving Situations,fear,False,fear,0.4140454828739166,neutral,0.3391671776771545,surprise,0.1287753283977508
You encounter road works and detours.,Anger,anger,Driving Situations,anger,True,anger,0.5823764204978943,sadness,0.2486682385206222,neutral,0.0871932506561279
Someone makes an obscene gesture towards you about your driving.,Anger,anger,Driving Situations,anger,True,anger,0.5225237011909485,fear,0.2914703488349914,disgust,0.1281525194644928
Someone beeps at you about your driving.,Anger,anger,Driving Situations,anger,True,anger,0.3660268187522888,neutral,0.3603613972663879,fear,0.1079433560371398
Someone shouts at you about your driving.,Anger,anger,Driving Situations,fear,False,fear,0.2621772885322571,surprise,0.2368324548006057,anger,0.2333300560712814
Someone does not move off straight away when the light turns green.,Anger,anger,Driving Situations,neutral,False,neutral,0.4323462545871734,anger,0.3338721394538879,disgust,0.1140234917402267
A pedestrian walks slowly across the middle of the street.,Anger,anger,Driving Situations,fear,False,fear,0.4091935753822326,neutral,0.2819594740867615,joy,0.1178310289978981
"Someone is driving too slowly in the outside lane, and holding up traffic.",Anger,anger,Driving Situations,neutral,False,neutral,0.4371896386146545,fear,0.329964280128479,anger,0.0734243392944336
Someone is driving more slowly than is reasonable for the traffic flow.,Anger,anger,Driving Situations,anger,True,anger,0.426169216632843,neutral,0.3377261757850647,disgust,0.1038403734564781
A slow vehicle on a winding road will not pull over and let people pass.,Anger,anger,Driving Situations,neutral,False,neutral,0.4420009255409241,anger,0.2357250750064849,disgust,0.138403981924057
Someone is slow in parking and holds up traffic.,Anger,anger,Driving Situations,anger,True,anger,0.4544634222984314,disgust,0.2985524237155914,fear,0.1561265736818313
You see a police car watching traffic from a hidden position.,Anger,anger,Driving Situations,fear,False,fear,0.436772733926773,neutral,0.2235466241836547,disgust,0.1761578470468521
You pass a speed camera.,Anger,anger,Driving Situations,neutral,False,neutral,0.4327970147132873,fear,0.2555029690265655,anger,0.1240777373313903
A police car is driving in traffic close to you.,Anger,anger,Driving Situations,neutral,False,neutral,0.3601519465446472,surprise,0.2305153608322143,fear,0.207620620727539
A police officer pulls you over.,Anger,anger,Driving Situations,disgust,False,disgust,0.2994200587272644,neutral,0.275997519493103,anger,0.251570850610733
Someone is driving too fast for the road conditions.,Anger,anger,Driving Situations,anger,True,anger,0.2883322536945343,fear,0.2415343523025512,neutral,0.1980461180210113
Someone is weaving in and out of traffic.,Anger,anger,Driving Situations,neutral,False,neutral,0.3355684280395508,anger,0.3004721999168396,fear,0.2159074991941452
Someone runs a red light or stop sign.,Anger,anger,Driving Situations,sadness,False,sadness,0.2936487793922424,fear,0.2475014626979828,disgust,0.2181098014116287
Someone is driving well above the speed limit.,Anger,anger,Driving Situations,neutral,False,neutral,0.4209237992763519,anger,0.1980956345796585,fear,0.1870725154876709
You are driving through a residential area when someone backs their car out of the driveway and nearly hits you.,Anger,anger,Driving Situations,anger,True,anger,0.3699500262737274,fear,0.361154168844223,neutral,0.1792011708021164
You are stuck behind a slow driver on an otherwise open road.,Anger,anger,Driving Situations,anger,True,anger,0.4675284028053283,neutral,0.2294866144657135,fear,0.1485507786273956
You do not have control over your exam score.,Anxiety,anxiety,External Factors,neutral,False,neutral,0.6429485082626343,disgust,0.1703873574733734,fear,0.0637698546051979
You cannot change the outcome of your job interview.,Anxiety,anxiety,External Factors,neutral,False,neutral,0.3916534185409546,fear,0.3147067725658417,disgust,0.1460179686546325
You cannot cope with the loss of a loved one.,Anxiety,anxiety,External Factors,sadness,False,sadness,0.5272369384765625,anger,0.186739295721054,surprise,0.1443481743335724
You do not know what to do when facing a difficult financial situation.,Anxiety,anxiety,External Factors,neutral,False,neutral,0.3987501859664917,sadness,0.2697905004024505,fear,0.2545166909694671
You are unprepared for the unexpected changes in your travel plans.,Anxiety,anxiety,External Factors,fear,False,fear,0.2239345610141754,anger,0.2133102715015411,sadness,0.2011768817901611
You hope the heavy traffic goes away soon.,Anxiety,anxiety,External Factors,neutral,False,neutral,0.456251710653305,fear,0.2493709623813629,sadness,0.1388191282749176
You hope the repair work in your home will be over soon.,Anxiety,anxiety,External Factors,neutral,False,neutral,0.2802663445472717,joy,0.1875241696834564,disgust,0.1607380658388137
Realizing that your home has been given a low appraisal value by the appraiser is not good.,Anxiety,anxiety,External Factors,neutral,False,neutral,0.7657326459884644,anger,0.193390741944313,disgust,0.0113715883344411
You have no hope for a resolution to the ongoing dispute.,Anxiety,anxiety,External Factors,neutral,False,neutral,0.5894401669502258,anger,0.1497504562139511,disgust,0.1108314767479896
You are having an important job interview,Anxiety,anxiety,External Factors,neutral,False,neutral,0.5183353424072266,fear,0.1826749593019485,sadness,0.1518250703811645
"Emergency Room: This environment was created with the intention of eliciting worry in participants suffering mostly from worries related to health. You find yourself immersed in a hospital emergency waiting room. Other patients are nearby and display symptoms of sickness (coughing) or fatigue. One of them is wearing a disposable face mask. You hear sounds such as a mother crying after receiving bad news concerning her child, and a wife being told that nothing can be done to save her husband, etc. Other patients are called to see the doctor, but you are not called. At some point, doctors come into the waiting room and discuss a case while looking at you, but you cannot understand what they are saying.",Anxiety,anxiety,External Factors,fear,False,fear,0.5973729491233826,neutral,0.2006815969944,surprise,0.1463168561458587
You are fearful of the upcoming presentation you have to deliver.,Anxiety,anxiety,Self-Imposed Pressure,fear,False,fear,0.7959449291229248,neutral,0.1638997495174408,sadness,0.0121095450595021
You are overwhelmed by the workload and deadlines at your job.,Anxiety,anxiety,Self-Imposed Pressure,anger,False,anger,0.345532476902008,sadness,0.3112525343894958,neutral,0.2277873456478119
You must succeed in completing your project on time.,Anxiety,anxiety,Self-Imposed Pressure,neutral,False,neutral,0.4607903361320495,fear,0.1703780591487884,joy,0.1703594028949737
You must perform well during the sports competition.,Anxiety,anxiety,Self-Imposed Pressure,fear,False,fear,0.4022578597068786,neutral,0.2327814549207687,joy,0.1783078461885452
You knew that you would have to make a difficult decision at some point.,Anxiety,anxiety,Self-Imposed Pressure,neutral,False,neutral,0.5120028853416443,fear,0.2548982501029968,sadness,0.1404633074998855
"If you are not completely successful in negotiating, the deal may fall through.",Anxiety,anxiety,Self-Imposed Pressure,neutral,False,neutral,0.3951040208339691,sadness,0.3363317847251892,anger,0.1166543588042259
You are anxious about giving a public speech.,Anxiety,anxiety,Self-Imposed Pressure,fear,False,fear,0.7964354753494263,anger,0.1484827548265457,disgust,0.022095737978816
You want to run away from the conflict in your family.,Anxiety,anxiety,Self-Imposed Pressure,fear,False,fear,0.5182790160179138,sadness,0.2352199256420135,neutral,0.1642247438430786
You regret not double-checking the address before leaving for an important job interview.,Anxiety,anxiety,Self-Imposed Pressure,fear,False,fear,0.4427351057529449,neutral,0.3198557496070862,disgust,0.0707726553082466
You are afraid of others thinking poorly of your fashion choices.,Anxiety,anxiety,Self-Imposed Pressure,fear,False,fear,0.8759915232658386,neutral,0.057544820010662,disgust,0.0333026722073555
You are having an argument with a friend,Anxiety,anxiety,Self-Imposed Pressure,anger,False,anger,0.8824762105941772,sadness,0.0741814374923706,neutral,0.0178308747708797
"Student Room: The third environment, created for students, alludes to both academic difficulties and social isolation. You find yourself in your room, having to study for upcoming exams. Scattered unpaid bills are visible, suggesting financial difficulties. You hear voices coming from the hall, talking about a student who is failing out of the program. From another room, you hear your roommates planning a party to which you are not invited, and it might further disrupt your study time.",Anxiety,anxiety,Self-Imposed Pressure,sadness,False,sadness,0.3429932594299316,fear,0.2419850826263427,disgust,0.1946516335010528
"When you have a test: Picture yourself sitting in a classroom, facing a challenging test that covers a significant portion of the course material. The pressure to perform well, the anticipation of the questions, and the need to recall and apply knowledge within a limited time frame can create anxiety and nervousness.",Anxiety,anxiety,Self-Imposed Pressure,fear,False,fear,0.5183581709861755,neutral,0.2005747109651565,joy,0.1968863755464553
"When you think you might make a mistake: Imagine being in a situation where there is a possibility of making a mistake with potentially significant consequences. It could be performing a delicate surgical procedure, handling a fragile object, or making a critical decision that affects others. The fear of failure and the weight of responsibility can lead to heightened stress and caution.",Anxiety,anxiety,Self-Imposed Pressure,fear,False,fear,0.5420736074447632,joy,0.1964364498853683,sadness,0.1620121896266937
"When you have to start a new activity: Visualize joining a new club, starting a new job, or participating in a new sport or hobby for the first time. You are stepping into unfamiliar territory, meeting new people, and learning new skills. The combination of excitement, nervousness, and the need to adapt quickly to the new environment creates a mix of emotions.",Anxiety,anxiety,Self-Imposed Pressure,fear,False,fear,0.4784871637821197,neutral,0.2576826214790344,surprise,0.1646022945642471
"When you volunteer to answer questions in class: Picture yourself in a classroom setting, where the teacher poses a question to the entire class, and you choose to raise your hand and volunteer to answer. The spotlight turns to you, and all eyes shift in your direction, waiting for your response. The mixture of anticipation, potential scrutiny, and the opportunity to contribute to the discussion can create a mix of excitement and nervousness.",Anxiety,anxiety,Self-Imposed Pressure,joy,False,joy,0.5367576479911804,neutral,0.328683465719223,disgust,0.039893738925457
You have control over how you react to criticism from others.,Anxiety,anxiety,Personal Growth and Relationships,neutral,False,neutral,0.5074968934059143,anger,0.1653345227241516,disgust,0.1576883941888809
You believe you can change the dynamics of a strained relationship.,Anxiety,anxiety,Personal Growth and Relationships,neutral,False,neutral,0.5196362733840942,anger,0.3411735594272613,disgust,0.0970002636313438
You can make something productive out of your free time.,Anxiety,anxiety,Personal Growth and Relationships,neutral,False,neutral,0.6237577199935913,joy,0.191475510597229,sadness,0.1314704716205597
You are not sure if you will get a promotion at work.,Anxiety,anxiety,Personal Growth and Relationships,neutral,False,neutral,0.5537798404693604,sadness,0.2860768139362335,surprise,0.0496346279978752
You do not want to face the confrontation with your neighbor.,Anxiety,anxiety,Personal Growth and Relationships,fear,False,fear,0.3259154856204986,anger,0.2533931136131286,neutral,0.1765513718128204
You want to give up on learning a new skill because it feels challenging.,Anxiety,anxiety,Personal Growth and Relationships,fear,False,fear,0.4015371799468994,neutral,0.3180172443389892,sadness,0.1552207618951797
You are having an argument with a friend having an emergency surgery,Anxiety,anxiety,Personal Growth and Relationships,fear,False,fear,0.3433139324188232,neutral,0.2552648186683655,surprise,0.1837048381567001
"When you don't know what people think of you: Picture yourself in a social gathering or party, surrounded by people whose opinions and thoughts about you are unknown. You may feel uncertain about how you are perceived by others and what they truly think of you, creating a sense of self-consciousness and curiosity.",Anxiety,anxiety,Personal Growth and Relationships,fear,False,fear,0.635459303855896,surprise,0.1424301117658615,neutral,0.1364385485649109
"When you are away from your parents: Envision yourself in a new environment, far away from the comforting presence of your parents or guardians. It could be your first day at college, moving to a new city for work, or embarking on a solo travel adventure. The absence of familiar support and guidance may evoke feelings of independence, excitement, and at the same time, a sense of vulnerability and adjustment.",Anxiety,anxiety,Personal Growth and Relationships,joy,False,joy,0.5599913597106934,neutral,0.2028229534626007,fear,0.2021353989839553
You are not being rational when jumping to conclusions.,Anxiety,anxiety,Uncertainty and Unknowns,neutral,False,neutral,0.484227567911148,anger,0.2947703301906585,disgust,0.1446453630924224
You hope time passes by faster during a tedious task.,Anxiety,anxiety,Uncertainty and Unknowns,fear,False,fear,0.333947479724884,neutral,0.3095585107803345,anger,0.178672045469284
You are not sure if you will get a promotion at work.,Anxiety,anxiety,Uncertainty and Unknowns,neutral,False,neutral,0.4804951548576355,fear,0.2961525022983551,surprise,0.1601765751838684
You can have a favorable outcome in your job application.,Anxiety,anxiety,Uncertainty and Unknowns,neutral,False,neutral,0.5281224250793457,joy,0.209612175822258,surprise,0.1145771890878677
"When there is a change in routine: Visualize waking up to find out that your usual daily routine has been completely disrupted. Perhaps your usual mode of transportation is unavailable, or there is a sudden change in your work schedule or school timetable. The unexpected alteration forces you to adapt and make adjustments on the spot, leading to a sense of disorientation and the need to quickly readjust your plans.",Anxiety,anxiety,Uncertainty and Unknowns,fear,False,fear,0.4548524916172027,surprise,0.2062626630067825,sadness,0.1648441851139068
"When you are not prepared: Imagine being given a task or responsibility without prior knowledge or preparation. It could be an impromptu presentation at work, an unplanned assignment in school, or a sudden request to lead a group discussion. The lack of preparation leaves you feeling unready and apprehensive about how well you will be able to perform in the given situation.",Anxiety,anxiety,Uncertainty and Unknowns,fear,False,fear,0.3901283144950866,sadness,0.2078190743923187,anger,0.2003565281629562
"When you go into a room full of people: Picture yourself entering a room filled with a large crowd of individuals, where everyone seems to know each other, but you are the outsider. The feeling of being surrounded by strangers, the potential for social interaction, and the need to navigate and establish connections in a new social setting can be both intimidating and exciting.",Anxiety,anxiety,Uncertainty and Unknowns,fear,False,fear,0.3682776093482971,neutral,0.3100553750991821,joy,0.2210565060377121
"When you go into a busy place: Imagine stepping into a bustling city street, a crowded shopping mall, or a busy train station during rush hour. The noise, the constant movement, and the sheer number of people around can be overwhelming, creating a sense of sensory overload and the need to navigate through the chaos.",Anxiety,anxiety,Uncertainty and Unknowns,fear,False,fear,0.4915919303894043,neutral,0.2316149920225143,sadness,0.0889846831560134
"When you are approached by others: Visualize someone approaching you, either a stranger or someone you know, initiating a conversation or interaction. It could be a networking event, a colleague seeking your opinion, or a friend expressing their concerns. The sudden interaction prompts you to respond, engage, and potentially adjust your behavior or thoughts in the moment.",Anxiety,anxiety,Uncertainty and Unknowns,neutral,False,neutral,0.4444841742515564,fear,0.2385725528001785,joy,0.1671362370252609
